time,open,high,low,close,volume
2023-04-06 16:20:00,8.09,8.09,8.09,8.09,498
2023-04-06 16:25:00,8.08,8.08,8.07,8.07,10407
2023-04-06 16:30:00,8.09,8.09,8.09,8.09,257
2023-04-06 16:35:00,8.07,8.07,8.07,8.07,4050
2023-04-06 16:40:00,8.08,8.08,8.07,8.07,2671
2023-04-06 16:50:00,8.08,8.08,8.07,8.07,7222
2023-04-06 16:55:00,8.07,8.07,8.06,8.06,1393
2023-04-06 17:00:00,8.07,8.07,8.07,8.07,6178
2023-04-06 17:05:00,8.07,8.07,8.06,8.06,868
2023-04-06 17:10:00,8.07,8.07,8.07,8.07,271
2023-04-06 17:15:00,8.07,8.07,8.07,8.07,100
2023-04-06 17:25:00,8.06,8.06,8.06,8.06,5962
2023-04-06 17:30:00,8.06,8.07,8.06,8.07,28888
2023-04-06 17:35:00,8.07,8.1,8.07,8.1,34763
2023-04-06 17:40:00,8.1,8.1,8.08,8.09,3416
2023-04-06 17:45:00,8.07,8.08,8.07,8.08,555
2023-04-06 17:50:00,8.07,8.07,8.07,8.07,1735
2023-04-06 17:55:00,8.0701,8.1,8.0701,8.1,10516
2023-04-06 18:00:00,8.08,8.09,8.08,8.09,677
2023-04-06 18:05:00,8.07,8.09,8.07,8.09,702
2023-04-06 18:10:00,8.07,8.1,8.07,8.1,6130
2023-04-06 18:15:00,8.1001,8.11,8.1,8.11,1603
2023-04-06 18:20:00,8.11,8.11,8.11,8.11,201
2023-04-06 18:25:00,8.1099,8.11,8.1,8.1,5526
2023-04-06 18:30:00,8.1,8.1,8.09,8.09,411
2023-04-06 18:35:00,8.1,8.11,8.1,8.11,4102
2023-04-06 18:40:00,8.1099,8.11,8.1,8.11,3084
2023-04-06 18:45:00,8.1,8.1,8.1,8.1,1209
2023-04-06 18:50:00,8.1,8.1,8.09,8.09,3535
2023-04-06 19:00:00,8.1,8.1,8.1,8.1,273
2023-04-06 19:05:00,8.09,8.09,8.09,8.09,400
2023-04-06 19:10:00,8.1,8.1,8.1,8.1,3090
2023-04-06 19:15:00,8.1,8.1,8.09,8.1,13563
2023-04-06 19:20:00,8.1,8.1,8.1,8.1,5947
2023-04-06 19:25:00,8.1,8.1,8.1,8.1,1703
2023-04-06 19:30:00,8.105,8.11,8.105,8.11,4158
2023-04-06 19:35:00,8.1,8.1,8.09,8.09,3166
2023-04-06 19:40:00,8.1,8.1,8.0999,8.0999,359
2023-04-06 19:45:00,8.1,8.1,8.1,8.1,289
2023-04-06 19:50:00,8.1,8.1,8.09,8.09,1060
2023-04-06 19:55:00,8.1,8.1,8.1,8.1,107
2023-04-06 20:00:00,8.09,8.09,8.06,8.06,7481
2023-04-10 04:05:00,8.1,8.19,8.09,8.11,4332
2023-04-10 04:10:00,8.14,8.14,8.14,8.14,589
2023-04-10 04:15:00,8.14,8.14,8.14,8.14,280
2023-04-10 04:20:00,8.13,8.14,8.13,8.14,2252
2023-04-10 04:25:00,8.13,8.13,8.12,8.12,1552
2023-04-10 04:30:00,8.12,8.12,8.12,8.12,1232
2023-04-10 04:40:00,8.14,8.14,8.1,8.1,1698
2023-04-10 04:50:00,8.13,8.15,8.13,8.15,7479
2023-04-10 05:00:00,8.14,8.14,8.14,8.14,363
2023-04-10 05:05:00,8.13,8.13,8.13,8.13,100
2023-04-10 05:10:00,8.14,8.14,8.14,8.14,199
2023-04-10 05:15:00,8.14,8.17,8.14,8.16,9512
2023-04-10 05:20:00,8.16,8.16,8.15,8.15,1548
2023-04-10 05:25:00,8.13,8.13,8.12,8.12,539
2023-04-10 05:30:00,8.11,8.11,8.11,8.11,1280
2023-04-10 05:35:00,8.11,8.11,8.11,8.11,9855
2023-04-10 05:45:00,8.11,8.11,8.11,8.11,1163
2023-04-10 05:50:00,8.15,8.15,8.14,8.15,1000
2023-04-10 06:10:00,8.15,8.16,8.15,8.15,1346
2023-04-10 06:15:00,8.15,8.15,8.15,8.15,100
2023-04-10 06:20:00,8.15,8.15,8.15,8.15,100
2023-04-10 06:30:00,8.11,8.11,8.11,8.11,414
2023-04-10 06:35:00,8.15,8.15,8.15,8.15,101
2023-04-10 06:40:00,8.14,8.15,8.14,8.15,1586
2023-04-10 06:50:00,8.14,8.15,8.12,8.15,1598
2023-04-10 07:00:00,8.14,8.14,8.12,8.12,846
2023-04-10 07:05:00,8.11,8.13,8.11,8.13,14166
